Full Name,Draft Value,Initial State,Initial Team Color,Initial Ideology,Draft Year,Historic Retirement,Death Year,First Year Command,First Year Legislative,First Year Governing,First Year Judicial,First Year Military,First Year Administrative,Flip Date Year 1,Flip Date Year 2,Flip Date Year 3
Allan Shivers,27,TX,Blue,Cons,1932,1956,1985,0,1,2,0,1,0,,,
Soapy Williams,27,MI,Blue,Lib,1936,1984,1988,0,1,2,1,1,1,,,
Richard Nixon,27,CA,Red,Cons,1940,1976,1994,0,1,1,0,1,0,,,
Samuel Adams,27,MA,Blue,LW Pop,1748,,1803,0,2,2,0,0,0,,,
George W P Hunt,27,AZ,Blue,Prog,1884,,1934,0,1,3,0,0,1,,,
Gifford Pinchot,27,PA,Red,Prog,1892,,1946,0,1,2,0,0,1,,,
Alfalfa Bill Murray,26.5,OK,Blue,RW Pop,1896,1936,1956,0,1,1,0,0,0,,,
Bill Clinton,26.5,AR,Blue,Mod,1972,2000,,0,0,2,0,0,1,,,
Jose Bonifacio de Andrada,26.5,Sao Paulo,Blue,LW Pop,1788,,1838,0,1,0,0,0,2,,,
William Wirt,26.5,VA,Blue,Mod,1800,,1834,0,1,0,0,0,3,1832,,
Hamilton Fish,26.5,NY,Red,Cons,1836,1880,1893,0,1,1,0,0,3,,,
Oliver Wendell Holmes Jr,26.5,MA,Red,Mod,1868,1932,1935,0,0,0,2,1,0,,,
Sid McMath,26.5,AR,Blue,Prog,1940,1952,2003,0,1,1,1,2,0,,,
Malcolm X,26,NY,Blue,Prog,1952,,1965,0,0,0,0,0,1,,,
William Jennings Bryan,26,NE,Blue,Prog,1888,,1925,0,1,0,0,0,1,,,
Carl Albert,26,OK,Blue,Mod,1936,1976,2000,0,3,0,0,1,0,,,
Thomas Hart Benton,26,TN,Blue,Mod,1808,,1858,0,3,0,0,1,0,,,
George Wythe,26,VA,Red,Lib,1752,1800,1806,0,1,1,3,0,0,,,
James Pollock,26,PA,Red,Mod,1836,1860,1890,0,1,1,1,0,2,,,
Lyman Trumbull,26,IL,Blue,Prog,1840,1884,1896,0,1,0,0,0,1,1854,,
Joel Parker,26,NJ,Blue,Mod,1844,1876,1888,0,1,2,1,0,1,,,
Stacey Abrams,26,GA,Blue,Lib,2000,,,0,1,1,0,0,0,,,
James Farley,25.5,NY,Blue,Lib,1916,1948,1976,0,1,0,0,0,1,,,
Strom Thurmond,25.5,SC,Blue,Trad,1928,,2003,0,2,1,1,2,0,1964,,
John Dickinson,25.5,PA,Blue,Cons,1760,1788,1808,0,2,2,2,0,0,,,
James K Polk,25.5,TN,Blue,Cons,1820,1848,1849,0,2,1,0,0,0,,,
Sam Yorty,25,CA,Blue,Cons,1936,1972,1998,0,1,1,0,1,0,1980,,
Huey P Long,25,LA,Blue,LW Pop,1920,,1935,0,1,1,0,0,0,,,
James Wilson,25,PA,Red,Mod,1768,,1798,0,1,0,3,1,3,,,
Oliver Ellsworth,25,CT,Red,Lib,1772,1804,1807,0,2,0,3,0,2,,,
Fisher Ames,25,MA,Red,Cons,1784,,1808,0,2,0,0,0,1,,,
George S Boutwell,25,MA,Blue,Lib,1844,1876,1905,0,1,1,0,0,1,1852,,
George H Pendleton,25,OH,Blue,Trad,1852,1888,1889,0,1,1,0,0,1,,,
Abraham Ribicoff,25,CT,Blue,Lib,1936,1984,1998,0,1,2,1,0,1,,,
Jon Huntsman,25,UT,Red,Mod,1988,,,0,0,2,0,0,2,,,
Coleman Blease,24.5,SC,Blue,RW Pop,1896,1932,1942,0,1,1,0,0,0,,,
Orval Faubus,24.5,AR,Blue,RW Pop,1936,1988,1994,0,0,3,0,1,0,,,
Caleb Strong,24.5,MA,Red,Mod,1772,,1819,0,2,2,2,0,0,,,
Elbridge Gerry,24.5,MA,Blue,Mod,1772,,1814,0,2,2,0,1,0,,,
Claude A Swanson,24.5,VA,Blue,RW Pop,1888,,1939,0,2,1,0,0,2,,,
Pat Harrison,24.5,MS,Blue,Trad,1908,,1941,0,2,0,0,0,0,,,
Hubert Humphrey,24.5,MN,Blue,Lib,1936,,1978,0,2,1,0,0,0,,,
Lloyd Bentsen,24.5,TX,Blue,Mod,1948,1996,2006,0,2,0,1,1,1,,,
Luiz Lula da Silva,24.5,Pernambuco,Blue,LW Pop,1972,,,0,1,1,0,0,1,,,
Roger B Taney,24,MD,Red,Cons,1804,,1864,0,1,0,3,0,1,1824,,
Henry A Wallace,24,IA,Red,Prog,1916,1952,1965,0,0,0,0,0,3,1932,,
Henry Ford,24,MI,Red,RW Pop,1888,1924,1947,0,1,0,0,0,0,1920,,
George W Romney,24,MI,Red,Mod,1932,1976,1995,0,0,2,0,0,1,,,
Joseph E Brown,23.5,GA,Red,Cons,1848,1892,1894,0,1,2,1,0,0,1848,1864,1880
Ted Kennedy,23.5,MA,Blue,Lib,1960,,2009,0,3,0,0,0,0,,,
Tom DeLay,23.5,TX,Red,Trad,1972,2008,,0,2,0,0,0,0,,,
Mike Huckabee,23.5,AR,Red,Cons,1980,2020,,0,0,2,0,0,1,,,
Gerrit Smith,23.5,NY,Blue,Prog,1824,1872,1874,0,1,0,0,0,0,,,
William McKinley,23.5,OH,Red,Cons,1868,,1901,0,1,1,0,1,0,,,
Mike Mansfield,23.5,MT,Blue,Lib,1928,1988,2001,0,2,0,0,0,2,,,
Terry Sanford,23.5,NC,Blue,Lib,1944,1992,1998,0,1,1,0,1,1,,,
Dick Lugar,23.5,IN,Red,Mod,1960,,2019,0,3,1,0,1,0,,,
Jeff Sessions,23.5,AL,Red,Cons,1972,,,0,2,0,1,1,1,,,
Adam Schiff,23.5,CA,Blue,Lib,1988,,,0,2,0,0,0,1,,,
Jair Bolsonaro,23,Sao Paulo,Red,RW Pop,1980,,,0,1,1,0,1,0,,,
Douglas MacArthur,23,WI,Red,RW Pop,1908,1956,1964,0,0,0,0,2,0,,,
Roy Moore,23,AL,Red,Trad,1972,2020,,0,1,1,2,1,0,,,
Susan B Anthony,23,NY,Red,Prog,1848,,1906,0,0,0,0,0,1,,,
Ulysses S Grant,23,OH,Red,Mod,1848,1884,1885,0,0,0,0,3,1,,,
Phyllis Schlafly,23,MO,Red,Trad,1952,1984,2016,0,1,0,0,0,1,,,
Harriet Tubman,23,PA,Red,Prog,1848,1900,1913,0,0,0,0,0,2,,,
Benjamin Chew,23,PA,Red,Mod,1748,1796,1810,0,1,0,1,0,1,,,
Elizabeth Cady Stanton,23,NY,Red,Prog,1840,1888,1902,0,0,0,0,0,1,,,
Nathaniel P Banks,23,MA,Red,Mod,1844,1892,1894,0,2,1,0,1,0,,,
John G Carlisle,23,KY,Blue,Cons,1860,1900,1910,0,2,1,0,0,1,,,
Frances Perkins,23,NY,Blue,Lib,1908,1948,1965,0,0,0,0,0,3,,,
Emanuel Celler,23,NY,Blue,Lib,1916,1972,1981,0,1,0,0,0,0,,,
Henry Morgenthau,23,NY,Blue,Lib,1916,1948,1967,0,0,0,0,0,3,,,
Samuel Smith,22.5,MD,Blue,Cons,1780,1832,1839,0,2,0,0,2,1,,,
Jeff Davis,22.5,AR,Blue,RW Pop,1888,,1913,0,1,2,0,0,1,,,
Jesse Helms,22.5,NC,Blue,Trad,1948,2004,2008,0,3,0,0,0,0,1968,,
Elias Boudinot,22.5,NJ,Blue,Prog,1768,1808,1821,0,2,0,0,1,2,,,
Rufus King,22.5,NY,Red,Lib,1780,,1827,0,1,1,1,1,1,,,
Martin Van Buren,22.5,NY,Blue,Mod,1808,1852,1862,0,1,1,0,0,1,,,
Jacob M Howard,22.5,MI,Red,Lib,1832,,1871,0,1,0,0,0,1,,,
John A Bingham,22.5,OH,Red,Lib,1840,1888,1900,0,1,0,1,0,2,,,
Benjamin Bristow,22.5,KY,Red,Mod,1860,,1896,0,1,0,1,1,1,,,
Louis Brandeis,22.5,KY,Blue,Lib,1884,,1941,0,0,0,2,0,0,,,
Paul V McNutt,22.5,IN,Blue,Lib,1916,,1955,0,0,1,0,1,1,,,
Everett Dirksen,22.5,IL,Red,Cons,1924,,1969,0,2,0,0,1,0,,,
Franklin D Roosevelt Jr,22.5,NY,Blue,Lib,1940,1968,1988,0,1,1,0,1,1,,,
Jesse D Bright,22,IN,Blue,Cons,1840,,1875,0,2,1,1,0,1,,,
Harry F Byrd Sr,22,VA,Blue,Trad,1912,,1966,0,2,1,0,0,0,,,
Alexander Martin,22,NC,Red,Trad,1768,,1807,0,2,2,0,2,0,1796,,
Jonathan Trumbull Jr,22,CT,Red,Cons,1768,,1809,0,2,2,1,1,0,,,
William Paterson,22,NJ,Red,Cons,1772,,1806,0,2,2,2,0,2,,,
Charles Pinckney,22,SC,Red,Cons,1784,,1824,0,1,2,0,1,1,1796,,
David Davis ,22,IL,Red,Mod,1840,,1886,0,2,0,2,0,0,1872,,
Shelby Cullom,22,IL,Red,Mod,1856,1912,1914,0,2,2,0,0,0,,,
John Coit Spooner,22,WI,Red,Cons,1868,1908,1919,0,2,0,0,1,1,,,
Hiram Johnson,22,CA,Red,Prog,1892,,1945,0,2,2,0,0,0,,,
Bobby Jindal,22,LA,Red,Cons,1996,2020,,0,1,2,0,0,1,,,
Nikki Haley,22,SC,Red,Cons,2000,,,0,1,2,0,0,1,,,
George H Williams,21.5,OR,Blue,Lib,1848,1884,1910,0,1,1,2,0,1,1864,,
William Randolph Hearst,21.5,NY,Blue,Lib,1888,1912,1951,0,1,1,0,0,0,,,
Eleanor Roosevelt,21.5,NY,Blue,Lib,1912,1960,1962,0,0,0,0,0,2,,,
Alexander Ramsey,21.5,PA,Red,Mod,1840,1880,1903,0,1,1,0,0,1,,,
John McLean,21.5,OH,Blue,Lib,1812,,1861,0,1,0,2,0,1,1832,,
Horace Mann,21.5,MA,Red,Prog,1824,,1859,0,1,0,0,0,1,,,
Judah P Benjamin,21.5,LA,Red,Cons,1836,1868,1884,0,1,0,1,0,2,1856,,
Matthew S Quay,21.5,PA,Red,Mod,1860,,1904,0,1,0,0,1,1,,,
Adolph J Sabath,21.5,IL,Blue,Lib,1892,1952,1952,0,1,0,0,0,0,,,
Carl Vinson,21.5,GA,Blue,Trad,1908,1968,1981,0,1,0,1,0,0,,,
Stuart Symington,21.5,MO,Blue,Lib,1928,1976,1988,0,2,0,0,1,1,,,
Jesse Jackson,21.5,IL,Blue,Prog,1968,2000,,0,1,0,0,0,0,,,
Lamar Alexander,21.5,TN,Red,Cons,1968,2020,,0,2,2,0,0,1,,,
Russ Feingold,21.5,WI,Blue,Prog,1980,,,0,1,0,0,0,1,,,
Wayne Morse,21,OR,Red,LW Pop,1928,1968,1974,0,2,0,0,1,0,1956,,
Rudy Giuliani,21,NY,Red,Mod,1972,,,0,1,1,1,0,1,,,
George C Wallace,21,AL,Blue,RW Pop,1944,1988,1998,0,0,3,0,0,0,,,
Winfield Scott,21,VA,Red,Mod,1812,1864,1866,0,0,0,0,4,0,,,
Samuel Huntington,21,CT,Red,Cons,1756,,1796,0,2,2,1,0,0,,,
James Garrard,21,KY,Blue,Lib,1776,1804,1822,0,1,2,0,2,1,,,
Simon Bolivar,21,South American,Red,Cons,1808,,1830,0,0,1,0,2,0,,,
Charles D Drake,21,MO,Red,LW Pop,1836,1876,1892,0,1,0,1,0,0,,,
Joseph G Cannon,21,IL,Red,Cons,1864,1924,1926,0,3,0,0,0,0,,,
John B Gordon,21,GA,Blue,Cons,1860,1900,1904,0,1,1,0,2,0,,,
Robert Lucas,21,OH,Blue,RW Pop,1808,1844,1853,0,1,2,0,1,0,,,
Harold Stassen,21,MN,Red,Lib,1932,1996,2001,0,1,1,0,1,1,,,
James Sullivan,21,MA,Blue,Lib,1772,,1808,0,1,2,2,0,2,,,
Robert H Harrison,21,MD,Red,Cons,1772,,1790,0,2,0,3,2,1,,,
Levi Lincoln Jr,21,MA,Red,Mod,1808,1840,1868,0,1,2,0,0,0,,,
William Lowndes,21,SC,Blue,Cons,1808,,1822,0,1,0,0,0,1,,,
John M Clayton,21,DE,Red,Cons,1824,,1856,0,1,0,1,0,1,,,
Robert M T Hunter,21,VA,Red,Cons,1836,1876,1887,0,2,0,0,0,1,1844,,
Alexander Randall,21,WI,Blue,Mod,1844,,1872,0,1,1,1,0,1,1856,,
James B Weaver,21,IA,Red,LW Pop,1860,1900,1912,0,1,0,0,1,0,1892,,
James B McCreary,21,KY,Blue,Prog,1864,1916,1918,0,1,2,0,1,0,,,
Albert B Cummins,21,IA,Red,Prog,1876,,1926,0,1,2,0,0,0,,,
Champ Clark,21,MO,Blue,Lib,1876,,1921,0,2,0,0,0,0,,,
Thomas J Walsh,21,MT,Blue,Lib,1884,,1933,0,2,0,0,0,1,,,
Albert Rosellini,21,WA,Blue,Lib,1936,1972,2011,0,1,2,0,0,0,,,
Henry M Jackson,21,WA,Blue,Lib,1940,,1983,0,2,0,0,0,0,,,
Mark Hatfield,21,OR,Red,Lib,1948,1988,2011,0,2,2,0,0,1,,,
Howard Baker,21,TN,Red,Mod,1952,2008,2014,0,3,0,0,0,1,,,
Antonin Scalia,21,VA,Red,Trad,1964,,2016,0,0,0,3,0,1,,,
Jerry Brown,21,CA,Blue,Lib,1964,2020,,0,0,3,0,0,1,,,
Charlie Baker,21,MA,Red,Mod,1984,,,0,0,2,0,0,1,,,
William T Sherman,20.5,OH,Red,Mod,1848,1884,1891,0,0,0,0,3,1,,,
Chris Christie,20.5,NJ,Red,Mod,1988,,,0,0,2,0,0,1,,,
Cesar Chavez,20.5,AZ,Blue,Lib,1952,,1993,0,0,0,0,0,1,,,
David Holmes,20.5,VA,Blue,Cons,1796,,1832,0,1,2,0,0,0,,,
Manuel Belgrano,20.5,south American,Red,Mod,1796,,1820,0,0,0,0,2,2,,,
Daniel D Tompkins,20.5,NY,Blue,Mod,1800,1824,1825,0,1,3,1,0,1,,,
Henry W Blair,20.5,NH,Red,Mod,1860,1896,1920,0,1,0,1,1,1,,,
Grover Cleveland,20.5,NY,Blue,Cons,1864,1908,1908,0,0,1,0,0,0,,,
William Howard Taft,20.5,OH,Red,Mod,1884,,1930,0,0,1,3,0,1,,,
Leonidas C Dyer,20.5,MO,Red,LW Pop,1896,1932,1957,0,1,0,0,1,0,,,
Thurgood Marshall,20.5,MD,Blue,Lib,1936,1992,1993,0,0,0,2,0,1,,,
George H W Bush,20.5,TX,Red,Mod,1952,1996,2018,0,1,0,0,1,1,,,
Christine Todd Whitman,20.5,NJ,Red,Mod,1972,2004,,0,1,3,0,0,1,,,
Robert G Ingersoll,20,NY,Red,Prog,1860,,1899,0,0,0,0,1,1,,,
Carter Harrison Sr,20,IL,Blue,LW Pop,1852,,1893,0,1,1,0,0,0,,,
William Sulzer,20,NY,Blue,Mod,1888,1916,1941,0,1,1,0,0,0,,,
Luke Lea II,20,TN,Blue,Prog,1904,,1945,0,1,0,0,1,0,,,
Artemas Ward,20,MA,Red,Mod,1752,1796,1800,0,2,0,1,3,0,,,
Nathaniel Gorham,20,MA,Red,Mod,1764,,1796,0,2,0,0,0,0,,,
Benjamin Rush,20,PA,Red,Lib,1772,,1813,0,1,0,0,1,2,1796,,
Jacob Collamer,20,VT,Red,Mod,1816,1924,1865,0,1,0,1,1,1,,,
Walter T Colquitt,20,GA,Blue,Trad,1824,,1855,0,1,0,1,1,0,,,
Caleb Cushing,20,MA,Blue,Cons,1828,,1879,0,1,1,2,1,1,,,
John P Hale,20,NH,Blue,Prog,1832,1872,1873,0,1,0,0,0,1,1856,,
Samuel Fenton Cary,20,OH,Red,LW Pop,1840,1876,1900,0,1,1,1,0,0,1868,,
Zachariah Chandler,20,MI,Red,Mod,1840,,1879,0,1,1,0,0,1,,,
Austin Blair,20,MI,Red,Lib,1844,1868,1894,0,1,1,0,0,0,,,
Henry M Teller,20,CO,Red,LW Pop,1856,1908,1914,0,2,0,0,1,1,1904,,
Marcus Holcomb,20,CT,Red,Cons,1872,1924,1932,0,1,2,1,0,1,,,
Jeannette Rankin,20,MT,Red,Prog,1908,1944,1973,0,1,0,0,0,0,,,
Reubin Askew,20,FL,Blue,Mod,1956,1984,2014,0,1,2,0,1,1,,,
Dick Thornburgh,20,PA,Red,Mod,1960,1992,,0,1,2,0,0,1,,,
Nancy Pelosi,20,CA,Blue,Lib,1968,,,0,3,0,0,0,0,,,
David Brydie Mitchell,19.5,GA,Blue,Trad,1792,1820,1837,0,1,2,0,0,1,,,
John C Fremont,19.5,CA,Blue,Prog,1840,1884,1890,0,1,1,0,1,0,1852,,
Nicholas Longworth,19.5,OH,Red,Cons,1896,,1931,0,2,0,0,0,0,,,
Earl Long,19.5,LA,Blue,LW Pop,1920,,1960,0,1,2,0,0,0,,,
Andrew Cuomo,19.5,NY,Blue,Lib,1984,,,0,1,3,0,0,1,,,
John Sevier,19.5,NC,Blue,Cons,1772,,1815,0,2,2,0,2,0,,,
Arthur Vandenberg,19.5,MI,Red,Cons,1912,,1951,0,2,0,0,0,0,,,
Bernie Sanders,19.5,VT,Blue,LW Pop,1968,,,0,1,1,0,0,0,,,
David G Farragut,19.5,MD,Red,Mod,1828,,1870,0,0,0,0,3,0,,,
Caesar Rodney,19.5,DE,Red,Mod,1756,,1784,0,2,1,0,1,0,,,
John Page,19.5,VA,Blue,Cons,1768,,1808,0,2,2,0,2,0,,,
John Sullivan,19.5,NH,Red,Mod,1768,,1795,0,1,2,2,1,0,,,
Samuel L Southard,19.5,NJ,Blue,Mod,1812,,1842,0,2,1,0,0,2,1824,,
Nelson Dewey,19.5,WI,Blue,Lib,1840,1872,1889,0,1,1,0,0,0,,,
Isham G Harris,19.5,TN,Blue,Trad,1844,,1897,0,2,1,0,0,0,,,
David B Hill,19.5,NY,Blue,Mod,1868,1908,1910,0,1,2,0,0,0,,,
John R Tanner,19.5,IL,Red,Cons,1872,,1901,0,1,1,0,0,1,,,
Alben W Barkley,19.5,KY,Blue,Lib,1904,,1956,0,2,1,0,0,0,,,
Eugene Talmadge,19.5,GA,Blue,Trad,1912,,1946,0,0,2,0,0,0,,,
W Averell Harriman,19.5,NY,Blue,Lib,1916,1972,1986,0,0,1,0,0,2,,,
John Chafee,19.5,RI,Red,Lib,1948,,1999,0,2,2,0,1,1,,,
James Baker,19.5,TX,Red,Mod,1956,2004,,0,0,0,0,1,1,,,
Paul Ryan,19.5,WI,Red,Cons,1996,2020,,0,2,0,0,0,0,,,
Theodore G Bilbo,19,MS,Blue,Trad,1904,,1947,0,1,2,0,0,0,,,
Fidel Castro,19,Cuba,Blue,LW Pop,1952,2012,2016,0,1,1,0,2,1,,,
Donald Regan,19,NJ,Red,Cons,1944,1988,2003,0,0,0,0,1,2,,,
Josh Hawley,19,MO,Red,RW Pop,2004,,,0,1,0,1,0,1,,,
James Henry Hammond,19,SC,Blue,Trad,1832,,1864,0,1,1,0,0,0,,,
Victoria Woodhull,19,OH,Red,LW Pop,1864,1880,1927,0,0,0,0,0,0,,,
WEB Du Bois,19,GA,Red,Prog,1896,1960,1963,0,1,0,0,0,0,,,
Gore Vidal,19,NY,Blue,Prog,1952,1984,2012,0,1,0,0,0,0,,,
Robert Treat Paine,19,MA,Red,Lib,1756,1800,1814,0,2,0,2,0,2,,,
William Montgomery,19,PA,Blue,Lib,1764,1796,1816,0,1,0,1,2,0,,,
John Floyd,19,VA,Blue,RW Pop,1808,,1837,0,1,1,0,1,0,,,
Edward Everett,19,MA,Red,Mod,1820,,1865,0,1,1,0,0,2,,,
Nathaniel S Berry,19,NH,Blue,Lib,1824,1864,1894,0,1,1,1,1,0,1856,,
Justin Smith Morrill,19,VT,Red,Mod,1836,1900,1898,0,2,0,0,0,0,,,
Richard W Thompson,19,IN,Red,Cons,1836,1880,1900,0,1,1,1,0,1,,,
Isaac P Christiancy,19,MI,Blue,Lib,1840,1880,1890,0,1,0,2,0,1,1848,,
Samuel Freeman Miller,19,IA,Red,Mod,1844,,1890,0,0,0,2,0,0,,,
William Claflin,19,MA,Red,Lib,1844,1880,1905,0,1,1,0,0,0,,,
John Marshall Harlan,19,KY,Red,Mod,1860,,1911,0,0,0,2,0,1,,,
